"Date","Price","Open","High","Low","Vol.","Change %"
"1999-07-05","1.4687","1.4642","1.4688","1.4626","","0.33%"
"1999-07-02","1.4639","1.4747","1.4749","1.4622","","-0.68%"
"1999-07-01","1.4739","1.4630","1.4741","1.4613","","0.79%"
"1999-06-30","1.4623","1.4768","1.4823","1.4617","","-1.00%"
"1999-06-29","1.4770","1.4697","1.4788","1.4685","","0.51%"
"1999-06-28","1.4695","1.4659","1.4697","1.4630","","0.20%"
"1999-06-25","1.4666","1.4725","1.4728","1.4623","","-0.42%"
"1999-06-24","1.4728","1.4728","1.4728","1.4681","","-0.01%"
"1999-06-23","1.4730","1.4704","1.4754","1.4672","","0.20%"
"1999-06-22","1.4700","1.4710","1.4739","1.4689","","-0.10%"
"1999-06-21","1.4714","1.4644","1.4731","1.4617","","0.51%"
"1999-06-18","1.4640","1.4625","1.4670","1.4624","","0.10%"
"1999-06-17","1.4626","1.4600","1.4654","1.4544","","0.22%"
"1999-06-16","1.4594","1.4642","1.4655","1.4573","","-0.34%"
"1999-06-15","1.4644","1.4607","1.4657","1.4587","","0.25%"
"1999-06-14","1.4607","1.4618","1.4638","1.4580","","-0.09%"
"1999-06-11","1.4620","1.4633","1.4635","1.4571","","-0.11%"
"1999-06-10","1.4636","1.4726","1.4729","1.4594","","-0.60%"
"1999-06-09","1.4724","1.4756","1.4758","1.4705","","-0.22%"
"1999-06-08","1.4756","1.4684","1.4770","1.4665","","0.55%"
"1999-06-07","1.4676","1.4703","1.4733","1.4663","","-0.17%"
"1999-06-04","1.4701","1.4757","1.4773","1.4689","","-0.39%"
"1999-06-03","1.4758","1.4796","1.4813","1.4747","","-0.20%"
"1999-06-02","1.4788","1.4836","1.4862","1.4776","","-0.34%"
"1999-06-01","1.4838","1.4741","1.4863","1.4739","","0.67%"
"1999-05-31","1.4739","1.4718","1.4777","1.4718","","0.16%"
"1999-05-28","1.4716","1.4752","1.4785","1.4707","","-0.31%"
"1999-05-27","1.4762","1.4704","1.4778","1.4656","","0.40%"
"1999-05-26","1.4703","1.4667","1.4749","1.4636","","0.21%"
"1999-05-25","1.4672","1.4558","1.4678","1.4533","","0.76%"
"1999-05-24","1.4562","1.4613","1.4627","1.4531","","-0.31%"
"1999-05-21","1.4608","1.4662","1.4675","1.4584","","-0.35%"
"1999-05-20","1.4660","1.4695","1.4695","1.4645","","-0.20%"
"1999-05-19","1.4690","1.4565","1.4711","1.4565","","0.10%"
"1999-05-18","1.4676","1.4602","1.4677","1.4563","","0.50%"
"1999-05-17","1.4603","1.4644","1.4684","1.4580","","-0.27%"
"1999-05-14","1.4643","1.4571","1.4667","1.4519","","0.46%"
"1999-05-13","1.4576","1.4593","1.4640","1.4563","","-0.12%"
"1999-05-12","1.4593","1.4527","1.4619","1.4505","","0.49%"
"1999-05-11","1.4522","1.4608","1.4615","1.4507","","-0.61%"
"1999-05-10","1.4611","1.4576","1.4618","1.4570","","0.24%"
"1999-05-07","1.4576","1.4542","1.4621","1.4522","","0.23%"
"1999-05-06","1.4542","1.4505","1.4565","1.4452","","0.27%"
"1999-05-05","1.4503","1.4524","1.4576","1.4485","","-0.13%"
"1999-05-04","1.4522","1.4480","1.4553","1.4473","","0.35%"
"1999-05-03","1.4472","1.4564","1.4586","1.4459","","-0.64%"
"1999-04-30","1.4565","1.4637","1.4662","1.4539","","-0.47%"
"1999-04-29","1.4634","1.4724","1.4737","1.4628","","-0.67%"
"1999-04-28","1.4732","1.4802","1.4809","1.4732","","-0.48%"
"1999-04-27","1.4803","1.4773","1.4835","1.4763","","0.26%"
"1999-04-26","1.4765","1.4750","1.4821","1.4750","","0.07%"
"1999-04-23","1.4755","1.4807","1.4815","1.4743","","-0.32%"
"1999-04-22","1.4802","1.4865","1.4883","1.4793","","-0.42%"
"1999-04-21","1.4865","1.4895","1.4925","1.4860","","-0.19%"
"1999-04-20","1.4893","1.4863","1.4914","1.4853","","0.17%"
"1999-04-19","1.4867","1.4787","1.4877","1.4775","","0.58%"
"1999-04-16","1.4782","1.4890","1.4902","1.4777","","-0.71%"
"1999-04-15","1.4888","1.4939","1.4971","1.4873","","-0.35%"
"1999-04-14","1.4941","1.4912","1.4950","1.4900","","0.21%"
"1999-04-13","1.4910","1.4925","1.4931","1.4872","","-0.05%"
"1999-04-12","1.4918","1.5001","1.5005","1.4914","","-0.57%"
"1999-04-09","1.5003","1.4997","1.5044","1.4973","","0.05%"
"1999-04-08","1.4996","1.4983","1.5005","1.4969","","0.09%"
"1999-04-07","1.4983","1.5026","1.5048","1.4975","","-0.27%"
"1999-04-06","1.5023","1.5000","1.5048","1.4998","","0.05%"
"1999-04-05","1.5015","1.4957","1.5040","1.4950","","0.43%"
"1999-04-02","1.4950","1.4993","1.5008","1.4950","","-0.25%"
"1999-04-01","1.4987","1.5066","1.5081","1.4972","","-0.62%"
"1999-03-31","1.5080","1.5098","1.5145","1.5070","","-0.18%"
"1999-03-30","1.5107","1.5125","1.5157","1.5105","","-0.22%"
"1999-03-29","1.5140","1.5123","1.5160","1.5110","","0.02%"
"1999-03-26","1.5137","1.5076","1.5155","1.5050","","0.41%"
